year,age,education,jobclass,health,health_ins,wage
2006,37,1. < HS Grad,1. Industrial,2. >=Very Good,2. No,94.07271474570051
2003,49,3. Some College,2. Information,2. >=Very Good,2. No,176.9896504898766
2009,31,4. College Grad,2. Information,2. >=Very Good,1. Yes,166.3249412338765
2009,54,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,94.07271474570051
2007,52,4. College Grad,2. Information,2. >=Very Good,1. Yes,139.70307152765756
2003,70,2. HS Grad,1. Industrial,1. <=Good,2. No,78.39246680098368
2005,30,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,141.77585646630732
2006,44,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,116.26532406250342
2003,34,4. College Grad,2. Information,2. >=Very Good,1. Yes,148.4131591025766
2007,38,2. HS Grad,1. Industrial,2. >=Very Good,2. No,87.98103278560542
2006,28,1. < HS Grad,1. Industrial,1. <=Good,1. Yes,90.48191335664015
2005,38,3. Some College,1. Industrial,2. >=Very Good,1. Yes,141.7751723331802
2003,39,2. HS Grad,1. Industrial,1. <=Good,2. No,63.092716734838604
2008,52,4. College Grad,2. Information,1. <=Good,1. Yes,65.1108537153447
2004,34,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,151.59148423981398
2003,33,4. College Grad,2. Information,2. >=Very Good,1. Yes,123.08969984794346
2007,45,4. College Grad,1. Industrial,1. <=Good,1. Yes,118.88435933988579
2006,58,2. HS Grad,1. Industrial,1. <=Good,2. No,79.85490030934672
2003,38,2. HS Grad,1. Industrial,2. >=Very Good,2. No,104.00495991222158
2007,63,4. College Grad,1. Industrial,1. <=Good,2. No,55.53610441773851
2007,38,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,99.68946369848636
2007,31,3. Some College,1. Industrial,2. >=Very Good,2. No,99.68946369848636
2007,53,4. College Grad,2. Information,2. >=Very Good,1. Yes,193.45260689410892
2009,21,2. HS Grad,2. Information,1. <=Good,1. Yes,102.87024693321467
2006,38,4. College Grad,2. Information,2. >=Very Good,1. Yes,164.64698893032815
2004,18,1. < HS Grad,1. Industrial,1. <=Good,1. Yes,69.61903690467626
2008,28,3. Some College,1. Industrial,2. >=Very Good,1. Yes,99.68946369848636
2003,33,4. College Grad,2. Information,2. >=Very Good,1. Yes,114.47571329034717
2004,32,3. Some College,1. Industrial,2. >=Very Good,2. No,99.68946369848636
2009,29,2. HS Grad,2. Information,2. >=Very Good,1. Yes,95.23071256698191
2005,28,1. < HS Grad,1. Industrial,1. <=Good,1. Yes,82.6796372966372
2005,42,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,116.94308132061724
2007,28,1. < HS Grad,2. Information,1. <=Good,2. No,54.598150033144236
2009,36,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,138.29912692088266
2007,47,2. HS Grad,2. Information,2. >=Very Good,1. Yes,130.98217737746066
2007,53,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,281.74597055185717
2003,48,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,163.51586397623814
2006,36,5. Advanced Degree,1. Industrial,2. >=Very Good,1. Yes,179.21485803627118
2007,55,3. Some College,2. Information,2. >=Very Good,1. Yes,126.32388070978574
2008,37,1. < HS Grad,1. Industrial,1. <=Good,2. No,70.47601964694451
2009,68,4. College Grad,2. Information,1. <=Good,1. Yes,118.01975334000589
2003,65,2. HS Grad,1. Industrial,2. >=Very Good,2. No,71.31963879421826
2007,37,4. College Grad,2. Information,2. >=Very Good,2. No,114.47571329034717
2007,33,4. College Grad,2. Information,2. >=Very Good,1. Yes,138.29912692088266
2003,19,2. HS Grad,2. Information,2. >=Very Good,2. No,54.598150033144236
2004,50,4. College Grad,2. Information,2. >=Very Good,1. Yes,94.07271474570051
2004,22,3. Some College,1. Industrial,1. <=Good,2. No,80.43020794582075
2004,40,3. Some College,2. Information,2. >=Very Good,1. Yes,89.2428846644714
2008,45,3. Some College,1. Industrial,2. >=Very Good,2. No,117.14681691480487
2009,36,5. Advanced Degree,1. Industrial,2. >=Very Good,2. No,127.11574381218446
2005,37,1. < HS Grad,1. Industrial,2. >=Very Good,2. No,81.28325328425272
2003,24,2. HS Grad,1. Industrial,1. <=Good,2. No,52.407064048200155
2007,66,1. < HS Grad,2. Information,2. >=Very Good,1. Yes,99.68946369848636
2004,35,1. < HS Grad,1. Industrial,1. <=Good,2. No,63.18886100374613
2009,33,4. College Grad,2. Information,2. >=Very Good,1. Yes,196.12527259425497
2005,44,3. Some College,1. Industrial,1. <=Good,1. Yes,101.82435207567953
2004,48,3. Some College,2. Information,2. >=Very Good,1. Yes,107.90392386687648
2009,47,2. HS Grad,2. Information,2. >=Very Good,2. No,51.23965492283824
2004,41,3. Some College,1. Industrial,2. >=Very Good,1. Yes,99.68946369848636
2005,55,4. College Grad,2. Information,2. >=Very Good,1. Yes,63.18886100374613
2008,74,5. Advanced Degree,2. Information,2. >=Very Good,2. No,148.4131591025766
2007,33,4. College Grad,2. Information,2. >=Very Good,1. Yes,99.68946369848636
2003,62,5. Advanced Degree,2. Information,1. <=Good,1. Yes,130.98217737746066
2004,56,2. HS Grad,1. Industrial,1. <=Good,1. Yes,101.82435207567953
2006,29,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,99.68946369848636
2009,56,1. < HS Grad,2. Information,1. <=Good,2. No,79.85490030934672
2009,47,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,160.6424754082633
2005,45,2. HS Grad,2. Information,2. >=Very Good,1. Yes,134.70537511887878
2007,44,4. College Grad,2. Information,2. >=Very Good,1. Yes,160.6424754082633
2004,25,4. College Grad,2. Information,2. >=Very Good,1. Yes,91.69922611170422
2005,45,3. Some College,2. Information,2. >=Very Good,2. No,75.35567931800914
2005,40,4. College Grad,2. Information,2. >=Very Good,1. Yes,136.1577108372299
2003,56,2. HS Grad,2. Information,1. <=Good,1. Yes,134.70537511887878
2005,56,3. Some College,2. Information,2. >=Very Good,1. Yes,81.98531783449961
2003,47,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,176.9896504898766
2007,39,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,118.88608035103424
2005,38,3. Some College,2. Information,2. >=Very Good,1. Yes,121.26274573261763
2009,48,2. HS Grad,1. Industrial,2. >=Very Good,2. No,94.07271474570051
2005,44,2. HS Grad,1. Industrial,1. <=Good,2. No,99.68946369848636
2003,42,5. Advanced Degree,2. Information,2. >=Very Good,2. No,123.90856759795726
2009,55,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,118.88435933988579
2006,61,5. Advanced Degree,1. Industrial,2. >=Very Good,2. No,82.6796372966372
2006,39,2. HS Grad,1. Industrial,1. <=Good,1. Yes,81.28325328425272
2005,30,3. Some College,1. Industrial,2. >=Very Good,2. No,104.92150653366392
2009,49,2. HS Grad,1. Industrial,1. <=Good,1. Yes,99.68946369848636
2006,33,4. College Grad,2. Information,2. >=Very Good,1. Yes,136.1577108372299
2006,31,1. < HS Grad,1. Industrial,1. <=Good,2. No,81.28325328425272
2005,35,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,68.50868965722483
2003,55,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,81.28325328425272
2008,36,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,114.47571329034717
2003,37,2. HS Grad,1. Industrial,2. >=Very Good,2. No,118.01975334000589
2006,33,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,99.68946369848636
2006,48,2. HS Grad,1. Industrial,1. <=Good,1. Yes,118.88435933988579
2004,47,3. Some College,1. Industrial,2. >=Very Good,1. Yes,118.88435933988579
2003,60,3. Some College,2. Information,1. <=Good,1. Yes,123.08969984794346
2004,28,4. College Grad,2. Information,1. <=Good,1. Yes,109.83398564219921
2005,28,3. Some College,2. Information,2. >=Very Good,1. Yes,102.87024693321467
2005,48,4. College Grad,2. Information,2. >=Very Good,1. Yes,163.51586397623814
2009,29,5. Advanced Degree,2. Information,2. >=Very Good,2. No,117.14681691480487
2004,40,2. HS Grad,1. Industrial,1. <=Good,1. Yes,92.30006142825887
2009,32,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,100.01348692470579
2004,33,2. HS Grad,2. Information,2. >=Very Good,2. No,55.0697284222779
2003,40,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,101.82435207567953
2004,42,3. Some College,1. Industrial,2. >=Very Good,1. Yes,148.4131591025766
2003,36,2. HS Grad,1. Industrial,2. >=Very Good,2. No,115.37503855639125
2004,39,1. < HS Grad,1. Industrial,1. <=Good,2. No,73.77574327469462
2009,44,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,267.90108685527514
2009,43,2. HS Grad,1. Industrial,2. >=Very Good,2. No,129.4536445766255
2008,44,1. < HS Grad,1. Industrial,2. >=Very Good,1. Yes,96.3706528322308
2006,29,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,87.98103278560542
2007,49,3. Some College,2. Information,2. >=Very Good,1. Yes,104.92150653366392
2007,47,3. Some College,2. Information,2. >=Very Good,1. Yes,130.98217737746066
2004,46,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,190.5476785647412
2006,41,1. < HS Grad,1. Industrial,2. >=Very Good,1. Yes,118.01975334000589
2008,52,2. HS Grad,2. Information,1. <=Good,2. No,79.85490030934672
2003,43,2. HS Grad,2. Information,2. >=Very Good,1. Yes,72.47931629712522
2004,38,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,148.4131591025766
2003,42,3. Some College,2. Information,2. >=Very Good,1. Yes,74.4446382014083
2005,56,4. College Grad,1. Industrial,2. >=Very Good,2. No,118.88435933988579
2003,39,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,128.68048822062414
2005,29,3. Some College,2. Information,2. >=Very Good,1. Yes,87.98103278560542
2009,33,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,267.90108685527514
2004,33,2. HS Grad,1. Industrial,2. >=Very Good,2. No,104.92150653366392
2004,41,2. HS Grad,2. Information,2. >=Very Good,2. No,92.89584478949662
2004,44,1. < HS Grad,2. Information,1. <=Good,1. Yes,70.47601964694451
2005,45,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,200.543262324662
2004,58,2. HS Grad,2. Information,2. >=Very Good,1. Yes,102.87024693321467
2005,29,3. Some College,1. Industrial,2. >=Very Good,1. Yes,102.87024693321467
2004,42,2. HS Grad,1. Industrial,2. >=Very Good,2. No,65.1108537153447
2008,68,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,109.83398564219921
2005,47,5. Advanced Degree,2. Information,1. <=Good,1. Yes,127.11574381218446
2005,30,4. College Grad,2. Information,2. >=Very Good,2. No,94.07271474570051
2005,39,1. < HS Grad,2. Information,2. >=Very Good,2. No,67.86252341136814
2008,42,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,125.52549843383584
2006,49,3. Some College,1. Industrial,2. >=Very Good,1. Yes,165.20877376725488
2009,36,2. HS Grad,1. Industrial,1. <=Good,1. Yes,81.28325328425272
2003,44,2. HS Grad,2. Information,1. <=Good,1. Yes,112.64889634210017
2009,54,2. HS Grad,2. Information,2. >=Very Good,1. Yes,76.89360251761123
2003,42,2. HS Grad,1. Industrial,1. <=Good,1. Yes,75.04315401735154
2003,39,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,128.68048822062414
2008,30,2. HS Grad,2. Information,2. >=Very Good,2. No,59.097064081589075
2004,33,2. HS Grad,2. Information,2. >=Very Good,2. No,63.773391196248824
2003,28,2. HS Grad,2. Information,2. >=Very Good,1. Yes,84.04595765399237
2003,38,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,93.93718158105213
2005,30,3. Some College,1. Industrial,2. >=Very Good,1. Yes,82.6796372966372
2008,25,5. Advanced Degree,1. Industrial,2. >=Very Good,1. Yes,118.88435933988579
2007,52,2. HS Grad,2. Information,2. >=Very Good,1. Yes,81.28325328425272
2007,26,2. HS Grad,1. Industrial,1. <=Good,2. No,66.9616443217359
2009,54,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,166.3249412338765
2005,62,4. College Grad,2. Information,2. >=Very Good,2. No,99.68946369848636
2009,57,5. Advanced Degree,2. Information,1. <=Good,1. Yes,141.7751723331802
2003,32,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,143.13494081113438
2003,60,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,35.03342132149954
2004,40,4. College Grad,2. Information,2. >=Very Good,1. Yes,109.83398564219921
2005,49,2. HS Grad,1. Industrial,2. >=Very Good,2. No,111.01440550879776
2006,54,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,132.48782112612304
2009,48,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,148.4131591025766
2009,35,1. < HS Grad,1. Industrial,2. >=Very Good,1. Yes,73.77574327469462
2009,46,2. HS Grad,2. Information,1. <=Good,1. Yes,143.69971013381272
2007,42,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,99.68946369848636
2004,58,4. College Grad,2. Information,2. >=Very Good,1. Yes,272.2947832200641
2003,30,4. College Grad,2. Information,2. >=Very Good,1. Yes,200.543262324662
2008,27,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,85.38658902362444
2008,55,1. < HS Grad,1. Industrial,2. >=Very Good,1. Yes,109.83398564219921
2004,50,2. HS Grad,1. Industrial,2. >=Very Good,2. No,61.05242105012463
2006,55,2. HS Grad,1. Industrial,1. <=Good,1. Yes,118.88435933988579
2006,40,3. Some College,1. Industrial,2. >=Very Good,1. Yes,145.8051633746247
2005,32,2. HS Grad,2. Information,1. <=Good,2. No,112.64889634210017
2006,27,2. HS Grad,1. Industrial,1. <=Good,1. Yes,106.92181409121146
2007,49,3. Some College,2. Information,2. >=Very Good,1. Yes,106.92181409121146
2007,50,4. College Grad,2. Information,1. <=Good,1. Yes,127.11574381218446
2006,50,1. < HS Grad,1. Industrial,1. <=Good,1. Yes,87.98103278560542
2008,44,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,144.47808766541038
2007,57,5. Advanced Degree,2. Information,1. <=Good,1. Yes,160.40970196228895
2008,72,5. Advanced Degree,1. Industrial,1. <=Good,2. No,87.98103278560542
2006,23,1. < HS Grad,1. Industrial,1. <=Good,2. No,65.1108537153447
2007,31,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,176.9896504898766
2008,36,2. HS Grad,2. Information,2. >=Very Good,2. No,54.598150033144236
2009,63,3. Some College,1. Industrial,2. >=Very Good,1. Yes,109.83398564219921
2006,48,1. < HS Grad,1. Industrial,1. <=Good,2. No,81.69842172472899
2005,46,4. College Grad,1. Industrial,2. >=Very Good,2. No,114.47571329034717
2003,55,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,142.63447276797189
2007,44,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,160.6424754082633
2006,44,3. Some College,1. Industrial,2. >=Very Good,1. Yes,94.07271474570051
2004,32,1. < HS Grad,1. Industrial,1. <=Good,2. No,54.598150033144236
2003,60,1. < HS Grad,1. Industrial,2. >=Very Good,1. Yes,73.77574327469462
2004,42,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,160.6424754082633
2009,48,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,148.4131591025766
2008,36,1. < HS Grad,1. Industrial,2. >=Very Good,2. No,87.98230642949868
2009,31,2. HS Grad,1. Industrial,1. <=Good,1. Yes,101.82435207567953
2006,54,2. HS Grad,2. Information,2. >=Very Good,1. Yes,111.7208493609888
2007,29,3. Some College,1. Industrial,2. >=Very Good,1. Yes,106.92181409121146
2003,46,3. Some College,1. Industrial,2. >=Very Good,2. No,126.32388070978574
2003,35,2. HS Grad,1. Industrial,2. >=Very Good,2. No,109.83398564219921
2009,50,1. < HS Grad,2. Information,1. <=Good,1. Yes,92.89584478949662
2005,25,3. Some College,1. Industrial,2. >=Very Good,1. Yes,54.598150033144236
2005,33,3. Some College,2. Information,1. <=Good,2. No,96.3706528322308
2008,34,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,114.47571329034717
2006,51,2. HS Grad,1. Industrial,1. <=Good,1. Yes,94.07271474570051
2004,33,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,95.23071256698191
2007,59,3. Some College,2. Information,2. >=Very Good,1. Yes,139.0034080594695
2006,62,1. < HS Grad,1. Industrial,2. >=Very Good,1. Yes,81.28325328425272
2005,28,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,94.07271474570051
2008,40,3. Some College,2. Information,1. <=Good,1. Yes,87.98103278560542
2003,52,5. Advanced Degree,1. Industrial,2. >=Very Good,1. Yes,138.29912692088266
2007,29,2. HS Grad,1. Industrial,2. >=Very Good,2. No,89.49247951800011
2007,34,1. < HS Grad,1. Industrial,2. >=Very Good,1. Yes,92.89584478949662
2004,25,2. HS Grad,1. Industrial,2. >=Very Good,2. No,54.598150033144236
2005,66,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,94.07271474570051
2005,43,2. HS Grad,2. Information,1. <=Good,1. Yes,68.74808773376687
2007,45,2. HS Grad,2. Information,2. >=Very Good,2. No,92.89584478949662
2006,35,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,114.47571329034717
2005,43,2. HS Grad,2. Information,2. >=Very Good,1. Yes,109.83398564219921
2007,49,4. College Grad,2. Information,2. >=Very Good,1. Yes,109.83398564219921
2004,60,1. < HS Grad,2. Information,1. <=Good,1. Yes,77.04520085282421
2003,46,2. HS Grad,2. Information,2. >=Very Good,2. No,94.07271474570051
2009,55,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,101.82435207567953
2006,32,3. Some College,1. Industrial,2. >=Very Good,1. Yes,118.88435933988579
2007,53,2. HS Grad,1. Industrial,2. >=Very Good,2. No,133.2323508265668
2009,57,4. College Grad,2. Information,2. >=Very Good,1. Yes,157.10350432344964
2007,51,5. Advanced Degree,2. Information,1. <=Good,1. Yes,281.74597055185717
2004,59,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,182.0206209635125
2006,45,3. Some College,2. Information,1. <=Good,1. Yes,119.09923477133995
2006,56,2. HS Grad,1. Industrial,1. <=Good,1. Yes,71.68674366591722
2005,30,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,85.38394037898266
2006,21,2. HS Grad,1. Industrial,2. >=Very Good,2. No,72.15045568157132
2003,60,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,138.29912692088266
2007,60,2. HS Grad,2. Information,2. >=Very Good,1. Yes,101.82435207567953
2007,48,1. < HS Grad,1. Industrial,2. >=Very Good,1. Yes,109.83398564219921
2003,39,4. College Grad,2. Information,2. >=Very Good,2. No,87.98103278560542
2009,32,3. Some College,2. Information,2. >=Very Good,1. Yes,115.37503855639125
2007,51,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,191.57368354841194
2006,47,4. College Grad,1. Industrial,2. >=Very Good,2. No,86.69515482894022
2007,44,2. HS Grad,2. Information,1. <=Good,1. Yes,75.8522371953675
2008,46,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,166.3249412338765
2004,28,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,56.90553914467319
2003,24,4. College Grad,2. Information,2. >=Very Good,2. No,99.68946369848636
2006,37,2. HS Grad,1. Industrial,2. >=Very Good,2. No,92.89584478949662
2006,31,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,99.68946369848636
2004,72,2. HS Grad,2. Information,1. <=Good,1. Yes,92.89584478949662
2008,50,3. Some College,1. Industrial,1. <=Good,1. Yes,101.82435207567953
2007,36,3. Some College,1. Industrial,2. >=Very Good,1. Yes,145.14360117691106
2006,27,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,76.89360251761123
2009,27,3. Some College,1. Industrial,2. >=Very Good,1. Yes,90.48191335664015
2004,41,4. College Grad,1. Industrial,2. >=Very Good,2. No,127.11574381218446
2008,20,3. Some College,2. Information,2. >=Very Good,2. No,82.6796372966372
2008,49,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,99.68946369848636
2007,25,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,64.15923256608816
2006,41,1. < HS Grad,1. Industrial,1. <=Good,1. Yes,89.49247951800011
2009,53,2. HS Grad,1. Industrial,1. <=Good,1. Yes,87.98103278560542
2009,45,4. College Grad,1. Industrial,1. <=Good,2. No,127.11574381218446
2003,32,1. < HS Grad,1. Industrial,2. >=Very Good,2. No,66.9616443217359
2005,47,3. Some College,2. Information,2. >=Very Good,1. Yes,148.4131591025766
2003,26,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,123.08969984794346
2009,31,3. Some College,2. Information,2. >=Very Good,1. Yes,133.2323508265668
2007,32,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,118.88435933988579
2006,50,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,120.16611963542137
2007,46,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,115.37503855639125
2006,47,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,112.64889634210017
2005,55,3. Some College,1. Industrial,1. <=Good,1. Yes,118.88435933988579
2005,49,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,148.4131591025766
2004,25,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,61.18752643399147
2008,60,2. HS Grad,2. Information,2. >=Very Good,2. No,95.68881190673713
2008,62,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,89.2428846644714
2003,63,2. HS Grad,2. Information,2. >=Very Good,1. Yes,127.90123297911782
2004,31,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,128.68048822062414
2006,29,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,109.83398564219921
2008,51,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,114.47571329034717
2007,28,2. HS Grad,1. Industrial,2. >=Very Good,2. No,76.12969963709855
2005,36,3. Some College,2. Information,1. <=Good,1. Yes,123.08969984794346
2007,28,3. Some College,2. Information,2. >=Very Good,1. Yes,99.68946369848636
2004,38,4. College Grad,2. Information,2. >=Very Good,1. Yes,102.87024693321467
2008,35,3. Some College,1. Industrial,2. >=Very Good,1. Yes,96.3706528322308
2005,46,3. Some College,1. Industrial,2. >=Very Good,1. Yes,117.14681691480487
2007,37,3. Some College,2. Information,2. >=Very Good,2. No,90.48191335664015
2005,41,3. Some College,2. Information,2. >=Very Good,1. Yes,104.92150653366392
2006,59,3. Some College,1. Industrial,1. <=Good,2. No,73.77574327469462
2006,51,3. Some College,1. Industrial,1. <=Good,2. No,107.90392386687648
2006,26,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,99.68946369848636
2003,34,3. Some College,1. Industrial,2. >=Very Good,1. Yes,60.15412466224406
2004,32,2. HS Grad,2. Information,2. >=Very Good,1. Yes,123.08969984794346
2007,23,3. Some College,1. Industrial,2. >=Very Good,1. Yes,81.28325328425272
2004,50,2. HS Grad,2. Information,2. >=Very Good,1. Yes,143.13494081113438
2009,25,1. < HS Grad,1. Industrial,2. >=Very Good,1. Yes,69.09818380872261
2004,43,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,78.98167451629936
2009,36,3. Some College,1. Industrial,2. >=Very Good,1. Yes,128.68048822062414
2006,50,2. HS Grad,2. Information,1. <=Good,2. No,54.598150033144236
2006,34,2. HS Grad,2. Information,2. >=Very Good,1. Yes,134.70537511887878
2005,34,2. HS Grad,1. Industrial,2. >=Very Good,2. No,104.92150653366392
2005,55,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,277.6014175110086
2003,39,2. HS Grad,1. Industrial,1. <=Good,2. No,78.21457569316497
2004,40,1. < HS Grad,1. Industrial,1. <=Good,1. Yes,82.6796372966372
2005,32,3. Some College,2. Information,1. <=Good,1. Yes,117.14681691480487
2006,63,2. HS Grad,2. Information,1. <=Good,1. Yes,118.88435933988579
2004,38,2. HS Grad,1. Industrial,2. >=Very Good,2. No,109.83398564219921
2008,67,2. HS Grad,1. Industrial,1. <=Good,2. No,59.097064081589075
2005,39,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,116.26532406250342
2003,31,2. HS Grad,1. Industrial,1. <=Good,2. No,61.18752643399147
2006,41,3. Some College,2. Information,2. >=Very Good,1. Yes,114.47571329034717
2003,47,1. < HS Grad,1. Industrial,2. >=Very Good,1. Yes,78.39246680098368
2009,61,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,122.26367389280242
2005,61,5. Advanced Degree,1. Industrial,2. >=Very Good,1. Yes,148.4131591025766
2008,21,2. HS Grad,1. Industrial,2. >=Very Good,2. No,54.598150033144236
2004,22,4. College Grad,1. Industrial,1. <=Good,2. No,66.04469423180564
2003,53,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,126.9578856771852
2004,47,4. College Grad,1. Industrial,2. >=Very Good,2. No,81.28325328425272
2005,36,3. Some College,1. Industrial,2. >=Very Good,1. Yes,127.90123297911782
2007,36,2. HS Grad,1. Industrial,2. >=Very Good,2. No,87.98103278560542
2005,42,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,123.08969984794346
2004,54,3. Some College,1. Industrial,2. >=Very Good,2. No,104.92150653366392
2004,27,3. Some College,1. Industrial,1. <=Good,1. Yes,87.98103278560542
2004,36,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,131.73780115500074
2006,35,2. HS Grad,2. Information,1. <=Good,2. No,73.77574327469462
2003,60,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,104.92150653366392
2005,42,2. HS Grad,1. Industrial,1. <=Good,1. Yes,91.60261566253405
2008,41,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,123.08969984794346
2004,35,3. Some College,1. Industrial,1. <=Good,1. Yes,131.65269865426802
2006,34,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,309.5717712662004
2007,22,2. HS Grad,1. Industrial,1. <=Good,1. Yes,70.66104766944072
2007,47,2. HS Grad,1. Industrial,2. >=Very Good,2. No,84.85204409378736
2004,59,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,102.87024693321467
2007,29,3. Some College,2. Information,2. >=Very Good,1. Yes,103.90247060316008
2006,32,1. < HS Grad,2. Information,2. >=Very Good,1. Yes,94.07271474570051
2003,49,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,128.68048822062414
2009,30,3. Some College,2. Information,2. >=Very Good,1. Yes,106.32686489467382
2003,33,2. HS Grad,1. Industrial,1. <=Good,1. Yes,99.25528682685616
2007,51,2. HS Grad,1. Industrial,1. <=Good,1. Yes,133.2323508265668
2003,37,2. HS Grad,1. Industrial,2. >=Very Good,2. No,78.39246680098368
2003,46,3. Some College,1. Industrial,2. >=Very Good,1. Yes,130.98217737746066
2007,63,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,109.83398564219921
2005,41,2. HS Grad,1. Industrial,2. >=Very Good,2. No,96.3706528322308
2005,40,2. HS Grad,1. Industrial,1. <=Good,1. Yes,109.83398564219921
2007,46,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,281.74597055185717
2005,45,2. HS Grad,2. Information,2. >=Very Good,1. Yes,94.07271474570051
2008,48,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,200.543262324662
2007,28,3. Some College,2. Information,2. >=Very Good,2. No,87.98103278560542
2009,65,2. HS Grad,1. Industrial,1. <=Good,2. No,87.98103278560542
2005,50,2. HS Grad,1. Industrial,2. >=Very Good,2. No,97.49329404539341
2008,53,2. HS Grad,1. Industrial,2. >=Very Good,2. No,107.90392386687648
2007,48,2. HS Grad,1. Industrial,2. >=Very Good,2. No,95.68881190673713
2003,30,3. Some College,2. Information,2. >=Very Good,2. No,109.83398564219921
2006,37,2. HS Grad,2. Information,2. >=Very Good,1. Yes,87.38744997134485
